brand_name,parent_company_name,year,item_description,type_product,type_material,layer,volunteer,start_of_audit,end_of_audit,time_spent,city,province,country,continent,type_of_audit,specifics_of_audit,event_total_count,longitude_most_specific,latitude_most_specific,location_specificity,total_count,proportion
16 oz glass bottle,unbranded,2018,Unknown,other,o,unsure,1.0,2018-09-13,2018-09-13,3.115933014354067,wakulla county florida,Unknown,united states of america,north america,outdoor,coastal,339,-100.445882,39.7837304,state,4,0.0117994100294985
16 oz yuengling can,boston beer company,2018,Unknown,other,o,unsure,1.0,2018-09-13,2018-09-13,3.115933014354067,wakulla county florida,Unknown,united states of america,north america,outdoor,coastal,339,-100.445882,39.7837304,state,1,0.0029498525073746
1800 respado,1800 respado,2020,glass bottle w/ wrapper,food packaging,o,multi-layer,4.0,2020-02-01,2020-02-01,2.0,santa cruz,california,united states of america,north america,outdoor,coastal,5,-118.755997,36.7014631,state,1,0.2
1800 tequila,the beckmann family,2022,drink bottle,food packaging,pet,single-layer,16.0,2022-09-18,2022-09-18,5.0,chicago,il,united states of america,north america,outdoor,inland,241,-89.4337288,40.0796606,state,1,0.004149377593361
2,berkshire hathaway,2021,plastic drink cup,food packaging,pet,multi-layer,10.0,2021-09-04,2021-09-04,2.0,tallahassee,florida,united states of america,north america,outdoor,inland,172,-84.2809332,30.4380832,city,2,0.0116279069767442
2 pac swisher sweets packaging,swisher,2018,Unknown,other,Unknown,unsure,1.0,2018-09-13,2018-09-13,3.115933014354067,wakulla county florida,Unknown,united states of america,north america,outdoor,coastal,339,-100.445882,39.7837304,state,1,0.0029498525073746
20 oz bottles,unbranded,2018,Unknown,other,pet,unsure,1.0,2018-09-13,2018-09-13,3.115933014354067,wakulla county florida,Unknown,united states of america,north america,outdoor,coastal,339,-100.445882,39.7837304,state,2,0.0058997050147492
20 oz cup the seinyard restaurant,seinyard?,2018,Unknown,other,ps,unsure,1.0,2018-09-13,2018-09-13,3.115933014354067,wakulla county florida,Unknown,united states of america,north america,outdoor,coastal,339,-100.445882,39.7837304,state,1,0.0029498525073746
2021-07-11 0:00:00,"2021-07-11 0:00:00, 7-11 convenience store, seven & i holdings co., seven and 1 holdings",2021,cup,food packaging,ps,single-layer,11.0,2021-09-07,2021-09-07,6.0,waverly,missouri,united states of america,north america,outdoor,freshwater,3533,-93.5177118,39.2094637,city,2,0.0005660911406736
2021-07-11 0:00:00,"2021-07-11 0:00:00, 7-11 convenience store, seven & i holdings co., seven and 1 holdings",2021,plastic cup,food packaging,hdpe,single-layer,50.0,2021-09-04,2021-09-04,3.0,miami,florida,united states of america,north america,outdoor,coastal,423,80.1918,25.7617,city,1,0.0023640661938534
2021-07-11 0:00:00,"2021-07-11 0:00:00, 7-11 convenience store, seven & i holdings co., seven and 1 holdings",2021,cup,food packaging,o,unsure,40.0,2021-09-11,2021-09-11,4.0,los angeles,california,united states of america,north america,outdoor,freshwater,264,-118.0772433,33.8038865,city,1,0.0037878787878787
2022-07-11 0:00:00,7/11 inc,2022,bag,packaging materials,pet,single-layer,14.0,2022-09-17,2022-09-17,3.0,st. petersburg,florida,united states of america,north america,outdoor,coastal,110,-82.6695085,27.7703796,city,2,0.0181818181818182
2022-07-11 0:00:00,7/11 inc,2022,big gulp cup,food packaging,pet,single-layer,14.0,2022-09-17,2022-09-17,3.0,st. petersburg,florida,united states of america,north america,outdoor,coastal,110,-82.6695085,27.7703796,city,1,0.009090909090909
